keys,en,es
Text/11/text,Leon is wandering around the neighborhood,Leon está deambulando por el vecindario
Text/12/text,"Oh, hello puppy. Why are you so alone? You wanna eat something?","Oh, hola perrito. ¿Por qué estás tan solo? ¿Quieres comer algo?"
Text/13/text,Guau!,Guau!
Text/14/text,"Good boy, here have some cookies that granny Evelyn made","Buen chico, toma unas galletas que la abuelita Evelyn ha horneado"
Text/15/text,"You're Clark's dog, right?","Eres el perro de Clark, ¿verdad?"
Text/16/text,I haven't heard of Clark for a few months.,No sé nada de Clark desde hace meses.
Text/17/text,"A few months ago, I saw his girlfriend Claire crying outside of his house","Hace un par de meses, vi a su novia Claire llorando fuera de su casa."
Text/18/text,They must have had a fight,Deben haber tenido una pelea
Text/19/text,"Suddenly, Leon sees a ball on the other side of the road and wants to go towards it.","De repente, Leon ve una pelota en el otro lado de la calle y quiere ir hacia ella"
Text/1a/text,Leon! Watch out! It might be dangerous!,¡Leon! ¡Ten cuidado! ¡Podrías ser peligroso!
Text/1b/text,LEON! THE TRUCK!!,¡LEON! ¡EL CAMIÓN!
Text/1c/text,L-Leon?,¿L-Leon?
