id,en,es
tap_to_play,Tap to start!,¡Pulsa para empezar!
game_over,Game Over,Fin de partida
retry,Retry,Reintentar
main_menu,Main Menu,Menú Principal
end_day,End day,Acabar día
score,Score,Puntuación
hscore,High Score,Máxima Puntuación
space_run_instructions,Swipe up and down,Desliza arriba y abajo
snake_instructions,Swipe in any direction,Desliza en cualquier dirección
day1,Chapter 1 - Crysallis,Chapter 1 - Crisálida
day2,Chapter 2 - Isolation,Chapter 2 - Aíslamiento
day3,Chapter 3 - Erosion,Chapter 3 - Erosión
day4,Chapter 4 - Hollow,Chapter 4 - Vacío
day5,Chapter 5 - Collapse,Chapter 5 - Colapso
day6,Chapter 6 - Static,Chapter 6 - Estática
mm_play,New Game,Nueva Partida
mm_continue,Continue,Continuar
mm_credits,Credits,Créditos
mm_free,Free Mode,Modo Libre
mm_settings,Settings,Opciones
mm_exit,Exit,Salir
set_mvolume,Music Volume,Volumen Música
set_avolume,Ambient Volume,Volumen Ambiente
set_svolume,Sound Volume,Volumen Sonidos
set_fullscreen,Fullscreen,Pantalla Completa
set_lang,Language,Idioma
freemode_explain,Play any minigame you want forever,Juega por siempre a tu minijuego favorito
locked,Locked,Bloqueado
chapter,Chapter,Capítulo
mm_back,Back,Atrás
yes,Yes,Sí
no,No,No
skip,Skip,Omitir
