keys,en,es
Text/41/text,I have a missed called. It's from my neighbour Evelyn,Tengo una llamada perdida. Es de mi vecina Evelyn
Text/42/text,She left me a voice message,Me ha dejado un mensaje de voz.
Text/43/text,"Good evening, Clark. I haven't seen you in a while. I hope you're doing great","Buenas tardes, Clark. Llevo un tiempo sin verte. Espero que estés bien."
Text/44/text,"Listen, this is hard to tell and I don't even know to do it.","Escucha, esto es realmente díficil de decir y no sé ni como hacerlo"
Text/45/text,Leon was wandering around my house this morning.,Leon estaba andando por el vecindario esta mañana
Text/46/text,He saw a ball on the other side of the road.,Vio una pelota al otro lado de la carretera.
Text/47/text,He ran towards it without thinking twice.,Corrió hacia sin pensárselo dos veces.
Text/48/text,A truck that was going by didn't see him and...,Un camión que estaba pasando no lo vió y...
Text/49/text,"I'm so sorry, Clark.","Lo siento mucho, Clark."
Text/4a/text,I know you were so bonded together.,Sé que estábais muy unidos
Text/4b/text,I buried the corpse myself in the backyard of my house.,Lo enterré en el jardín de detrás de mi casa.
Text/4c/text,He has some flowers.,Le puse flores
Text/4d/text,"If you ever need a hug or someone to talk to, here I am for you.","Si algún día necesitas un abrazo o alguien con quien hablar, aquí estoy."
Text/4e/text,At least Claire is with you.,Al menos tienes a Claire
Text/4f/text,I really like this girl for you. I hope you get engaged one day,Realmente me gusta esa chica para ti. Espero que os caséis algún día
Text/50/text,"Yeah, keep dreaming.","Ya, sigue soñando."
Text/51/text,"Again, I'm so sorry for your loss. Best wishes.","Otra vez, siento muchísimo tu perdida, Clark."
Text/52/text,"Jeez, that dog only ate, pooped and barked.","Vaya, ese perro solo comía, cagaba y ladraba"
Text/53/text,It's better this way.,Es mejor así
Text/54/text,Good thing that old woman buried the corpse herself.,Menos mal que la vieja ha enterrado el cuerpo
Text/55/text,Less work for me,Menos trabajo para mí
Text/56/text,...,...
Text/57/text,"Whatever, I need to play something",Necesito jugar a algo
Text/58/text,"Today I bought my fourth game: ""SkyRise""","Hoy he comprado mi cuarto juego: ""SkyRise"""
Text/59/text,This one looks fun but a bit challenging. I'll take it easy.,Este parece divertido pero un poco desafiante. Me lo tomaré con calma
Text/5a/text,Objective: Get at least {sky_rise_target} points in SkyRise,Objetivo: consigue al menos {sky_rise_target} puntos en SkyRise
